uniprot_id,go_id,aspect,evidence_code,assigned_by
P10632,GO:0008210,P,IDA,UniProt
P10632,GO:0019369,P,IEA,UniProt
P10632,GO:0019373,P,IDA,UniProt
P10632,GO:0019373,P,TAS,Reactome
P10632,GO:0032787,P,IEA,UniProt
P10632,GO:0042178,P,IDA,BHF-UCL
P10632,GO:0042572,P,IEA,UniProt
P10632,GO:0042573,P,IDA,UniProt
P10632,GO:0042759,P,TAS,Reactome
P10632,GO:0046456,P,IDA,UniProt
P10632,GO:0070989,P,IDA,BHF-UCL
P10632,GO:0097267,P,TAS,Reactome
P10635,GO:0006629,P,IEA,UniProt
P10635,GO:0006631,P,IEA,UniProt
P10635,GO:0006805,P,IMP,BHF-UCL
P10635,GO:0006805,P,IDA,BHF-UCL
P10635,GO:0006805,P,TAS,BHF-UCL
P10635,GO:0006805,P,TAS,Reactome
P10635,GO:0008202,P,IEA,UniProt
P10635,GO:0008202,P,IMP,BHF-UCL
P10635,GO:0008203,P,IEA,UniProt
P10635,GO:0008210,P,IDA,UniProt
P10635,GO:0009804,P,IDA,BHF-UCL
P10635,GO:0009820,P,IDA,BHF-UCL
P10635,GO:0009822,P,IDA,BHF-UCL
P10635,GO:0016098,P,IDA,BHF-UCL
P10635,GO:0033076,P,IDA,BHF-UCL
P10635,GO:0042178,P,IDA,BHF-UCL
P10635,GO:0042572,P,IEA,UniProt
P10635,GO:0042572,P,IDA,UniProt
P10635,GO:0042759,P,TAS,Reactome
P10635,GO:0070989,P,IDA,BHF-UCL
P10635,GO:0090350,P,IDA,BHF-UCL
P11362,GO:0001525,P,IEA,Ensembl
P11362,GO:0001657,P,IEA,Ensembl
P11362,GO:0001701,P,IEA,Ensembl
P11362,GO:0001759,P,IEA,Ensembl
P11362,GO:0002053,P,IEA,Ensembl
P11362,GO:0002062,P,IEA,Ensembl
P11362,GO:0007420,P,IEA,Ensembl
P11362,GO:0007435,P,IEA,Ensembl
P11362,GO:0007605,P,IEA,Ensembl
P11362,GO:0008284,P,IEA,Ensembl
P11362,GO:0008284,P,IGI,MGI
P11362,GO:0008543,P,IEA,Ensembl
P11362,GO:0008543,P,IPI,MGI
P11362,GO:0008543,P,IGI,MGI
P11362,GO:0010468,P,IEA,Ensembl
P11362,GO:0010629,P,IEA,Ensembl
P11362,GO:0010966,P,IEA,Ensembl
P11362,GO:0010976,P,IEA,Ensembl
P11362,GO:0030031,P,IEA,Ensembl
P11362,GO:0030324,P,IEA,Ensembl
P11362,GO:0030326,P,IEA,Ensembl
P11362,GO:0030901,P,IEA,Ensembl
P11362,GO:0042127,P,IEA,Ensembl
P11362,GO:0042472,P,IEA,Ensembl
P11362,GO:0042473,P,IEA,Ensembl
P11362,GO:0042474,P,IEA,Ensembl
P11362,GO:0043583,P,IEA,Ensembl
P11362,GO:0048339,P,IEA,Ensembl
P11362,GO:0048378,P,IEA,Ensembl
P11362,GO:0048469,P,IEA,Ensembl
P11362,GO:0048514,P,IEA,Ensembl
P11362,GO:0048699,P,IEA,Ensembl
P11362,GO:0048762,P,IEA,Ensembl
P11362,GO:0051174,P,IEA,Ensembl
P11362,GO:0060045,P,IEA,Ensembl
P11362,GO:0060117,P,IEA,Ensembl
P11362,GO:0060445,P,IEA,Ensembl
P11362,GO:0060484,P,IEA,Ensembl
P11362,GO:0060665,P,IEA,Ensembl
P11362,GO:0070640,P,IEA,Ensembl
P11362,GO:0090080,P,IEA,Ensembl
P11362,GO:0090272,P,IEA,Ensembl
P11362,GO:1903465,P,IEA,Ensembl
P11362,GO:2000830,P,IEA,Ensembl
P11362,GO:2001239,P,IEA,Ensembl
P11362,GO:0000122,P,IEA,Ensembl
P11362,GO:0000165,P,TAS,PINC
P11362,GO:0001501,P,TAS,PINC
P11362,GO:0001764,P,TAS,UniProt
P11362,GO:0001837,P,IMP,BHF-UCL
P11362,GO:0006468,P,NAS,UniProt
P11362,GO:0008284,P,IEA,InterPro
P11362,GO:0008284,P,IEA,UniProt
P11362,GO:0008284,P,IMP,UniProt
P11362,GO:0008284,P,IDA,UniProt
P11362,GO:0008543,P,IEA,InterPro
P11362,GO:0008543,P,TAS,PINC
P11362,GO:0008543,P,IDA,UniProt
P11362,GO:0008543,P,IDA,BHF-UCL
P11362,GO:0008543,P,TAS,ParkinsonsUK-UCL
P11362,GO:0010467,P,IEA,Ensembl
P11362,GO:0010518,P,TAS,UniProt
P11362,GO:0010604,P,IEA,UniProt
P11362,GO:0016477,P,TAS,UniProt
P11362,GO:0018108,P,IDA,UniProt
P11362,GO:0021769,P,IEA,Ensembl
P11362,GO:0021847,P,IEA,Ensembl
P11362,GO:0035607,P,IEA,Ensembl
P11362,GO:0043009,P,TAS,UniProt
P11362,GO:0043406,P,IDA,UniProt
P11362,GO:0043410,P,IEA,UniProt
P11362,GO:0043410,P,IGI,BHF-UCL
P11362,GO:0043410,P,IMP,UniProt
P11362,GO:0043536,P,IGI,BHF-UCL
P11362,GO:0044344,P,IDA,BHF-UCL
P11362,GO:0045595,P,TAS,UniProt
P11362,GO:0045666,P,IMP,UniProt
P11362,GO:0045787,P,IEA,Ensembl
P11362,GO:0046777,P,IDA,UniProt
P11362,GO:0048015,P,TAS,UniProt
P11362,GO:0048699,P,IEA,UniProt
P11362,GO:0048705,P,IEA,UniProt
P11362,GO:0048705,P,TAS,UniProt
P11362,GO:0051897,P,TAS,UniProt
P11362,GO:0051897,P,IGI,BHF-UCL
P11362,GO:0055074,P,IEA,Ensembl
P11362,GO:0071344,P,IEA,Ensembl
P11362,GO:0071529,P,IEA,Ensembl
P11362,GO:0080090,P,IEA,UniProt
P11362,GO:0099151,P,IEA,Ensembl
P11362,GO:1904383,P,IEA,Ensembl
P11362,GO:1905564,P,IGI,BHF-UCL
P11362,GO:2001028,P,IDA,BHF-UCL
P11712,GO:0006629,P,IEA,UniProt
P11712,GO:0006721,P,IEA,UniProt
P11712,GO:0006805,P,IDA,BHF-UCL
P11712,GO:0006805,P,IMP,UniProt
P11712,GO:0006805,P,TAS,Reactome
P11712,GO:0008202,P,IEA,UniProt
P11712,GO:0008202,P,IMP,BHF-UCL
P11712,GO:0008203,P,IEA,UniProt
P11712,GO:0008210,P,IDA,UniProt
P11712,GO:0016098,P,IDA,BHF-UCL
P11712,GO:0019369,P,IEA,UniProt
P11712,GO:0019373,P,IDA,UniProt
P11712,GO:0019373,P,TAS,Reactome
P11712,GO:0019627,P,IDA,BHF-UCL
P11712,GO:0032787,P,IEA,UniProt
P11712,GO:0032787,P,IDA,BHF-UCL
P11712,GO:0042178,P,IMP,BHF-UCL
P11712,GO:0042178,P,IDA,BHF-UCL
P11712,GO:0042759,P,TAS,Reactome
P11712,GO:0046456,P,IDA,UniProt
P11712,GO:0070989,P,IDA,BHF-UCL
P11712,GO:0090346,P,IDA,BHF-UCL
P11712,GO:0097267,P,TAS,Reactome
P20815,GO:0002933,P,IEA,UniProt
P20815,GO:0002933,P,IDA,BHF-UCL
P20815,GO:0006629,P,IEA,UniProt
P20815,GO:0006805,P,TAS,Reactome
